Country,State,Route,Active,Latitude,Longitude,Stratum,BCR
840,2,1,1,34.868688,-87.6041417,14,27
840,2,4,1,34.0297881,-87.0592352,13,28
840,2,6,1,34.5012877,-86.6855493,14,24
840,2,7,1,34.8680404,-86.2030371,14,24
840,2,10,1,33.1913463,-85.9258408,11,29
840,2,12,1,33.6076572,-85.7511714,13,28
840,2,14,1,33.4549551,-86.6010915,13,28
840,2,16,1,33.8481773,-87.5888357,13,27
840,2,17,1,33.5263185,-87.0044623,13,28
840,2,19,1,33.4765537,-88.1712189,4,27
840,2,20,1,32.1307226,-88.3172665,4,27
840,2,21,1,32.2782397,-87.8359539,4,27
840,2,22,1,32.442715,-87.2158334,4,27
840,2,24,1,32.1312407,-86.2754989,4,27
840,2,25,1,32.6594297,-86.7017714,4,27
840,2,26,1,32.5890245,-86.1307777,4,27
840,2,27,1,32.3116131,-85.5530853,4,27
840,2,28,1,32.8854647,-85.2044589,11,29
840,2,29,1,32.1473077,-85.0626449,4,27
840,2,31,1,31.0081277,-85.2112631,4,27
840,2,33,1,31.5859083,-86.250378,4,27
840,2,34,1,31.4439507,-86.6131969,4,27
840,2,35,1,30.9977072,-86.8858316,4,27
840,2,36,1,31.7399574,-87.2090516,4,27
840,2,39,1,31.632605,-88.3131441,4,27
840,2,43,1,33.1156047,-87.1007539,13,27
840,2,45,1,34.1311637,-87.7621469,4,27
840,2,46,1,34.3142387,-86.4773569,13,28
840,2,47,1,33.1379607,-87.8205274,4,27
840,2,48,1,32.6807827,-88.1229309,4,27
840,2,49,1,32.8055085,-87.7643955,4,27
840,2,50,1,32.3276808,-86.7118894,4,27
840,2,51,1,32.5816871,-85.7164607,11,28
840,2,54,1,31.2223969,-86.0994295,4,27
840,2,55,1,31.6676037,-85.6508719,4,27
840,2,57,1,34.4236313,-87.3907904,13,28
840,2,59,1,33.2811827,-88.0092154,4,27
840,2,60,1,33.2638251,-87.4241383,4,27
840,2,61,1,33.718519,-86.4457647,13,28
840,2,63,1,32.4128107,-87.5381089,4,27
840,2,65,1,32.4341515,-85.8711729,4,27
840,2,67,1,31.4086552,-86.270046,4,27
840,2,71,1,34.7961251,-87.3837235,14,24
840,2,72,1,34.9292307,-86.9887629,14,24
840,2,73,1,34.9895137,-86.0671689,21,28
840,2,105,1,34.2126918,-86.4734413,13,28
840,2,109,1,34.3086241,-85.9323092,13,28
840,2,111,1,33.6296357,-85.7466579,13,28
840,2,137,1,31.0706664,-87.8350582,4,27
840,2,140,1,30.248466,-88.1123348,3,27
840,2,141,1,30.2816323,-87.5183917,3,27
840,2,142,1,30.370222,-87.6024375,3,27
840,2,156,1,33.2905307,-86.3312989,13,28
840,2,162,1,33.9413322,-85.450491,11,28
840,2,164,1,32.822371,-86.1117753,11,28
840,2,204,1,34.7575557,-85.8594579,13,28
840,2,205,1,33.6853138,-88.1671198,4,27
840,2,207,1,33.8564625,-86.3813006,13,28
840,2,208,1,33.3180161,-86.1573541,13,28
840,2,209,1,33.1844368,-85.464604,11,29
840,2,210,1,32.1930088,-87.3792753,4,27
840,2,211,1,32.4860839,-86.5697685,4,27
840,2,212,1,32.5033347,-85.2532189,4,27
840,2,213,1,31.1365731,-88.2207774,4,27
840,2,215,1,31.9052647,-86.1853409,4,27
840,2,216,1,31.7296264,-85.2558091,4,27
840,2,218,1,30.803493,-87.6374375,3,27
840,2,750,1,34.4761164,-86.4676524,14,24
840,2,751,1,33.5919601,-86.2041575,13,28
840,2,752,1,32.6683647,-87.2422029,4,27
840,2,754,1,30.688444,-87.969378,4,27
840,7,2,1,33.1683737,-91.3322519,5,26
840,7,4,1,33.5907857,-92.6974039,4,25
840,7,5,1,33.3755757,-93.4706879,4,25
840,7,6,1,33.6627163,-93.6694105,4,25
840,7,7,1,33.6969877,-94.1229479,4,25
840,7,8,1,34.9269397,-90.5065699,5,26
840,7,10,1,34.0487397,-91.4995419,5,26
840,7,13,1,34.0344927,-93.2513959,4,25
840,7,15,1,34.9704407,-94.0440279,19,25
840,7,16,1,35.4848667,-90.6809479,5,26
840,7,19,1,35.9114603,-91.3426352,19,26
840,7,20,1,35.6330837,-92.7182699,19,24
840,7,21,1,35.5702167,-92.1956399,19,25
840,7,22,1,35.4263985,-93.6640897,19,25
840,7,23,1,35.7806777,-93.0696409,19,24
840,7,24,1,35.3514159,-94.3318236,19,25
840,7,25,1,36.4436877,-90.9236529,5,26
840,7,26,1,36.0989147,-91.7354059,19,24
840,7,27,1,36.4061087,-92.1148009,19,24
840,7,28,1,36.1206137,-93.2802279,19,24
840,7,29,1,36.4053037,-94.1100149,19,24
840,7,30,1,36.329802,-94.303299,19,24
840,7,31,1,36.394077,-93.472462,19,24
840,7,32,1,36.210562,-92.751243,19,24
840,7,33,1,36.313763,-91.22905,5,24
840,7,35,1,35.901224,-90.000225,5,26
840,7,36,1,35.396663,-90.966633,5,26
840,7,37,1,35.373736,-91.658032,5,24
840,7,39,1,35.075027,-93.68179,19,25
840,7,41,1,34.65949,-93.689266,19,25
840,7,42,1,34.559183,-92.001796,4,26
840,7,43,1,34.13829,-91.573969,5,26
840,7,45,1,33.782848,-94.006856,4,25
