"","x"
"1",1
"2",1
"3",1
"4",1
"5",0
"6",0
"7",0
"8",0
"9",1
"10",0
"11",0
"12",0
"13",0
"14",0
"15",1
"16",0
"17",0
"18",0
"19",0
"20",1
"21",0
"22",0
"23",1
"24",0
"25",1
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",1
"43",0
"44",0
"45",0
"46",0
"47",1
"48",0
"49",0
"50",1
"51",0
"52",0
"53",0
"54",0
"55",0
"56",1
"57",0
"58",1
"59",0
"60",0
"61",1
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",1
"79",1
"80",0
"81",1
"82",0
"83",0
"84",1
"85",0
"86",0
"87",0
"88",0
"89",0
"90",1
"91",0
"92",0
"93",0
"94",1
"95",0
"96",1
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",1
"104",0
"105",0
"106",0
"107",1
"108",1
"109",0
"110",1
"111",0
"112",0
"113",1
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",1
"140",0
"141",1
"142",1
"143",1
"144",0
"145",0
"146",0
"147",0
"148",1
"149",1
"150",0
"151",0
"152",0
"153",0
"154",1
"155",0
"156",0
"157",0
"158",0
"159",1
"160",1
"161",0
"162",1
"163",0
"164",1
"165",1
"166",0
"167",1
"168",0
"169",1
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",1
"180",0
"181",1
"182",0
"183",0
"184",0
"185",1
"186",0
"187",1
"188",0
"189",0
"190",0
"191",0
"192",1
"193",0
"194",1
"195",1
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",1
"203",0
"204",1
"205",0
"206",1
"207",0
"208",0
"209",1
"210",0
"211",0
"212",0
"213",0
"214",1
"215",0
"216",1
"217",0
"218",0
"219",1
"220",1
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",1
"228",1
"229",0
"230",1
"231",0
"232",0
"233",1
"234",1
"235",0
"236",1
"237",1
"238",0
"239",0
"240",1
"241",0
"242",0
"243",1
"244",0
"245",1
"246",0
"247",0
"248",0
"249",0
"250",1
"251",0
"252",1
"253",0
"254",0
"255",1
"256",1
"257",0
"258",1
"259",0
"260",0
"261",1
"262",0
"263",0
"264",0
"265",0
"266",0
"267",1
"268",1
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",1
"286",0
"287",0
"288",0
"289",1
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",1
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",1
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",1
"357",0
"358",0
"359",0
"360",0
"361",1
"362",0
"363",0
"364",1
"365",1
"366",1
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",1
"374",1
"375",0
"376",0
"377",1
"378",1
"379",0
"380",0
"381",0
"382",1
"383",0
"384",0
"385",0
"386",0
"387",0
"388",1
"389",0
"390",1
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",1
"400",0
"401",0
"402",0
"403",0
"404",1
"405",1
"406",0
"407",0
"408",0
"409",0
"410",0
"411",1
"412",1
"413",1
"414",0
"415",0
"416",0
"417",0
"418",1
"419",1
"420",0
"421",0
"422",0
"423",0
"424",1
"425",0
"426",0
"427",0
"428",0
"429",1
"430",0
"431",0
"432",0
"433",0
"434",1
"435",0
"436",0
"437",1
"438",0
"439",0
"440",1
"441",0
"442",1
"443",0
"444",0
"445",0
"446",0
"447",1
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",1
"460",0
"461",1
"462",1
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",1
"479",0
"480",0
"481",0
